Number,The first digit is,The second digit is,The third digit is,The first digit is ,The second digit is,The third digit is,The sum of the first and second digits is,The sum of the first and third digits is,The sum of the second and third digits is,The sum of all three digits is,The difference of the first and second digits is,The difference of the first and third digits is,The difference of the second and third digits is ,The product of the first and second digits is,The product of the first and third digits is,The product of the second and third digits is,The product of all three digits is ,The mean of the first and second digits is,The mean of the first and third digits is,The mean of the second and third digits is,The mean of all three digits is,The range of all three digits is 
752,7,5,2,a prime number,a prime number,a prime number,12,9,7,14,2,5,3,35,14,10,70,6,5,4,5,5
753,7,5,3,a prime number,a prime number,a prime number,12,10,8,15,2,4,2,35,21,15,105,6,5,4,5,4
754,7,5,4,a prime number,a prime number,a square number,12,11,9,16,2,3,1,35,28,20,140,6,6,5,5,3
755,7,5,5,a prime number,a prime number,a prime number,12,12,10,17,2,2,0,35,35,25,175,6,6,5,6,2
756,7,5,6,a prime number,a prime number,a triangular number,12,13,11,18,2,1,1,35,42,30,210,6,7,6,6,2
757,7,5,7,a prime number,a prime number,a prime number,12,14,12,19,2,0,2,35,49,35,245,6,7,6,6,2
758,7,5,8,a prime number,a prime number,a cube number,12,15,13,20,2,1,3,35,56,40,280,6,8,7,7,3
759,7,5,9,a prime number,a prime number,a square number,12,16,14,21,2,2,4,35,63,45,315,6,8,7,7,4
760,7,6,0,a prime number,a triangular number,a square or a cube number,13,7,6,13,1,7,6,42,0,0,0,7,4,3,4,7
761,7,6,1,a prime number,a triangular number,a square or a cube number,13,8,7,14,1,6,5,42,7,6,42,7,4,4,5,6
762,7,6,2,a prime number,a triangular number,a prime number,13,9,8,15,1,5,4,42,14,12,84,7,5,4,5,5
763,7,6,3,a prime number,a triangular number,a prime number,13,10,9,16,1,4,3,42,21,18,126,7,5,5,5,4
764,7,6,4,a prime number,a triangular number,a square number,13,11,10,17,1,3,2,42,28,24,168,7,6,5,6,3
765,7,6,5,a prime number,a triangular number,a prime number,13,12,11,18,1,2,1,42,35,30,210,7,6,6,6,2
766,7,6,6,a prime number,a triangular number,a triangular number,13,13,12,19,1,1,0,42,42,36,252,7,7,6,6,1
767,7,6,7,a prime number,a triangular number,a prime number,13,14,13,20,1,0,1,42,49,42,294,7,7,7,7,1
768,7,6,8,a prime number,a triangular number,a cube number,13,15,14,21,1,1,2,42,56,48,336,7,8,7,7,2
769,7,6,9,a prime number,a triangular number,a square number,13,16,15,22,1,2,3,42,63,54,378,7,8,8,7,3
770,7,7,0,a prime number,a prime number,a square or a cube number,14,7,7,14,0,7,7,49,0,0,0,7,4,4,5,7
771,7,7,1,a prime number,a prime number,a square or a cube number,14,8,8,15,0,6,6,49,7,7,49,7,4,4,5,6
772,7,7,2,a prime number,a prime number,a prime number,14,9,9,16,0,5,5,49,14,14,98,7,5,5,5,5
773,7,7,3,a prime number,a prime number,a prime number,14,10,10,17,0,4,4,49,21,21,147,7,5,5,6,4
774,7,7,4,a prime number,a prime number,a square number,14,11,11,18,0,3,3,49,28,28,196,7,6,6,6,3
775,7,7,5,a prime number,a prime number,a prime number,14,12,12,19,0,2,2,49,35,35,245,7,6,6,6,2
776,7,7,6,a prime number,a prime number,a triangular number,14,13,13,20,0,1,1,49,42,42,294,7,7,7,7,1
777,7,7,7,a prime number,a prime number,a prime number,14,14,14,21,0,0,0,49,49,49,343,7,7,7,7,0
778,7,7,8,a prime number,a prime number,a cube number,14,15,15,22,0,1,1,49,56,56,392,7,8,8,7,1
779,7,7,9,a prime number,a prime number,a square number,14,16,16,23,0,2,2,49,63,63,441,7,8,8,8,2
780,7,8,0,a prime number,a cube number,a square or a cube number,15,7,8,15,1,7,8,56,0,0,0,8,4,4,5,8
781,7,8,1,a prime number,a cube number,a square or a cube number,15,8,9,16,1,6,7,56,7,8,56,8,4,5,5,7
782,7,8,2,a prime number,a cube number,a prime number,15,9,10,17,1,5,6,56,14,16,112,8,5,5,6,6
783,7,8,3,a prime number,a cube number,a prime number,15,10,11,18,1,4,5,56,21,24,168,8,5,6,6,5
784,7,8,4,a prime number,a cube number,a square number,15,11,12,19,1,3,4,56,28,32,224,8,6,6,6,4
785,7,8,5,a prime number,a cube number,a prime number,15,12,13,20,1,2,3,56,35,40,280,8,6,7,7,3
786,7,8,6,a prime number,a cube number,a triangular number,15,13,14,21,1,1,2,56,42,48,336,8,7,7,7,2
787,7,8,7,a prime number,a cube number,a prime number,15,14,15,22,1,0,1,56,49,56,392,8,7,8,7,1
788,7,8,8,a prime number,a cube number,a cube number,15,15,16,23,1,1,0,56,56,64,448,8,8,8,8,1
789,7,8,9,a prime number,a cube number,a square number,15,16,17,24,1,2,1,56,63,72,504,8,8,9,8,2
790,7,9,0,a prime number,a square number,a square or a cube number,16.00,7.00,9.00,16.00,2.00,7.00,9.00,63.00,0.00,0.00,0.00,8.00,3.50,4.50,5.33,9.00
791,7,9,1,a prime number,a square number,a square or a cube number,16.00,8.00,10.00,17.00,2.00,6.00,8.00,63.00,7.00,9.00,63.00,8.00,4.00,5.00,5.67,8.00
792,7,9,2,a prime number,a square number,a prime number,16.00,9.00,11.00,18.00,2.00,5.00,7.00,63.00,14.00,18.00,126.00,8.00,4.50,5.50,6.00,7.00
793,7,9,3,a prime number,a square number,a prime number,16.00,10.00,12.00,19.00,2.00,4.00,6.00,63.00,21.00,27.00,189.00,8.00,5.00,6.00,6.33,6.00
794,7,9,4,a prime number,a square number,a square number,16.00,11.00,13.00,20.00,2.00,3.00,5.00,63.00,28.00,36.00,252.00,8.00,5.50,6.50,6.67,5.00
795,7,9,5,a prime number,a square number,a prime number,16.00,12.00,14.00,21.00,2.00,2.00,4.00,63.00,35.00,45.00,315.00,8.00,6.00,7.00,7.00,4.00
796,7,9,6,a prime number,a square number,a triangular number,16.00,13.00,15.00,22.00,2.00,1.00,3.00,63.00,42.00,54.00,378.00,8.00,6.50,7.50,7.33,3.00
797,7,9,7,a prime number,a square number,a prime number,16.00,14.00,16.00,23.00,2.00,0.00,2.00,63.00,49.00,63.00,441.00,8.00,7.00,8.00,7.67,2.00
798,7,9,8,a prime number,a square number,a cube number,16.00,15.00,17.00,24.00,2.00,1.00,1.00,63.00,56.00,72.00,504.00,8.00,7.50,8.50,8.00,2.00
799,7,9,9,a prime number,a square number,a square number,16.00,16.00,18.00,25.00,2.00,2.00,0.00,63.00,63.00,81.00,567.00,8.00,8.00,9.00,8.33,2.00
800,8,0,0,a cube number,a square or a cube number,a square or a cube number,8,8,0,8,8,8,0,0,0,0,0,4,4,0,3,8
801,8,0,1,a cube number,a square or a cube number,a square or a cube number,8,9,1,9,8,7,1,0,8,0,0,4,5,1,3,8
802,8,0,2,a cube number,a square or a cube number,a prime number,8,10,2,10,8,6,2,0,16,0,0,4,5,1,3,8
803,8,0,3,a cube number,a square or a cube number,a prime number,8,11,3,11,8,5,3,0,24,0,0,4,6,2,4,8
804,8,0,4,a cube number,a square or a cube number,a square number,8,12,4,12,8,4,4,0,32,0,0,4,6,2,4,8
805,8,0,5,a cube number,a square or a cube number,a prime number,8,13,5,13,8,3,5,0,40,0,0,4,7,3,4,8
806,8,0,6,a cube number,a square or a cube number,a triangular number,8,14,6,14,8,2,6,0,48,0,0,4,7,3,5,8
807,8,0,7,a cube number,a square or a cube number,a prime number,8,15,7,15,8,1,7,0,56,0,0,4,8,4,5,8
808,8,0,8,a cube number,a square or a cube number,a cube number,8,16,8,16,8,0,8,0,64,0,0,4,8,4,5,8
809,8,0,9,a cube number,a square or a cube number,a square number,8,17,9,17,8,1,9,0,72,0,0,4,9,5,6,9
810,8,1,0,a cube number,a square or a cube number,a square or a cube number,9,8,1,9,7,8,1,8,0,0,0,5,4,1,3,8
811,8,1,1,a cube number,a square or a cube number,a square or a cube number,9,9,2,10,7,7,0,8,8,1,8,5,4,1,3,7
812,8,1,2,a cube number,a square or a cube number,a prime number,9,10,3,11,7,6,1,8,16,2,16,5,5,2,4,7
813,8,1,3,a cube number,a square or a cube number,a prime number,9,11,4,12,7,5,2,8,24,3,24,5,6,2,4,7
814,8,1,4,a cube number,a square or a cube number,a square number,9,12,5,13,7,4,3,8,32,4,32,5,6,3,4,7
815,8,1,5,a cube number,a square or a cube number,a prime number,9,13,6,14,7,3,4,8,40,5,40,5,7,3,5,7
816,8,1,6,a cube number,a square or a cube number,a triangular number,9,14,7,15,7,2,5,8,48,6,48,5,7,4,5,7
817,8,1,7,a cube number,a square or a cube number,a prime number,9,15,8,16,7,1,6,8,56,7,56,5,8,4,5,7
818,8,1,8,a cube number,a square or a cube number,a cube number,9,16,9,17,7,0,7,8,64,8,64,5,8,5,6,7
819,8,1,9,a cube number,a square or a cube number,a square number,9,17,10,18,7,1,8,8,72,9,72,5,9,5,6,8
820,8,2,0,a cube number,a prime number,a square or a cube number,10,8,2,10,6,8,2,16,0,0,0,5,4,1,3,8
821,8,2,1,a cube number,a prime number,a square or a cube number,10,9,3,11,6,7,1,16,8,2,16,5,5,2,4,7
822,8,2,2,a cube number,a prime number,a prime number,10,10,4,12,6,6,0,16,16,4,32,5,5,2,4,6
823,8,2,3,a cube number,a prime number,a prime number,10,11,5,13,6,5,1,16,24,6,48,5,6,3,4,6
824,8,2,4,a cube number,a prime number,a square number,10,12,6,14,6,4,2,16,32,8,64,5,6,3,5,6
825,8,2,5,a cube number,a prime number,a prime number,10,13,7,15,6,3,3,16,40,10,80,5,7,4,5,6
826,8,2,6,a cube number,a prime number,a triangular number,10,14,8,16,6,2,4,16,48,12,96,5,7,4,5,6
827,8,2,7,a cube number,a prime number,a prime number,10,15,9,17,6,1,5,16,56,14,112,5,8,5,6,6
828,8,2,8,a cube number,a prime number,a cube number,10,16,10,18,6,0,6,16,64,16,128,5,8,5,6,6
829,8,2,9,a cube number,a prime number,a square number,10,17,11,19,6,1,7,16,72,18,144,5,9,6,6,7
830,8,3,0,a cube number,a prime number,a square or a cube number,11,8,3,11,5,8,3,24,0,0,0,6,4,2,4,8
831,8,3,1,a cube number,a prime number,a square or a cube number,11,9,4,12,5,7,2,24,8,3,24,6,5,2,4,7
832,8,3,2,a cube number,a prime number,a prime number,11,10,5,13,5,6,1,24,16,6,48,6,5,3,4,6
833,8,3,3,a cube number,a prime number,a prime number,11,11,6,14,5,5,0,24,24,9,72,6,6,3,5,5
834,8,3,4,a cube number,a prime number,a square number,11,12,7,15,5,4,1,24,32,12,96,6,6,4,5,5
835,8,3,5,a cube number,a prime number,a prime number,11,13,8,16,5,3,2,24,40,15,120,6,7,4,5,5
836,8,3,6,a cube number,a prime number,a triangular number,11,14,9,17,5,2,3,24,48,18,144,6,7,5,6,5
837,8,3,7,a cube number,a prime number,a prime number,11,15,10,18,5,1,4,24,56,21,168,6,8,5,6,5
838,8,3,8,a cube number,a prime number,a cube number,11,16,11,19,5,0,5,24,64,24,192,6,8,6,6,5
839,8,3,9,a cube number,a prime number,a square number,11,17,12,20,5,1,6,24,72,27,216,6,9,6,7,6
840,8,4,0,a cube number,a square number,a square or a cube number,12.00,8.00,4.00,12.00,4.00,8.00,4.00,32.00,0.00,0.00,0.00,6.00,4.00,2.00,4.00,8.00
841,8,4,1,a cube number,a square number,a square or a cube number,12.00,9.00,5.00,13.00,4.00,7.00,3.00,32.00,8.00,4.00,32.00,6.00,4.50,2.50,4.33,7.00
842,8,4,2,a cube number,a square number,a prime number,12.00,10.00,6.00,14.00,4.00,6.00,2.00,32.00,16.00,8.00,64.00,6.00,5.00,3.00,4.67,6.00
843,8,4,3,a cube number,a square number,a prime number,12.00,11.00,7.00,15.00,4.00,5.00,1.00,32.00,24.00,12.00,96.00,6.00,5.50,3.50,5.00,5.00
844,8,4,4,a cube number,a square number,a square number,12.00,12.00,8.00,16.00,4.00,4.00,0.00,32.00,32.00,16.00,128.00,6.00,6.00,4.00,5.33,4.00
845,8,4,5,a cube number,a square number,a prime number,12.00,13.00,9.00,17.00,4.00,3.00,1.00,32.00,40.00,20.00,160.00,6.00,6.50,4.50,5.67,4.00
846,8,4,6,a cube number,a square number,a triangular number,12.00,14.00,10.00,18.00,4.00,2.00,2.00,32.00,48.00,24.00,192.00,6.00,7.00,5.00,6.00,4.00
847,8,4,7,a cube number,a square number,a prime number,12.00,15.00,11.00,19.00,4.00,1.00,3.00,32.00,56.00,28.00,224.00,6.00,7.50,5.50,6.33,4.00
848,8,4,8,a cube number,a square number,a cube number,12.00,16.00,12.00,20.00,4.00,0.00,4.00,32.00,64.00,32.00,256.00,6.00,8.00,6.00,6.67,4.00
849,8,4,9,a cube number,a square number,a square number,12.00,17.00,13.00,21.00,4.00,1.00,5.00,32.00,72.00,36.00,288.00,6.00,8.50,6.50,7.00,5.00
850,8,5,0,a cube number,a prime number,a square or a cube number,13,8,5,13,3,8,5,40,0,0,0,7,4,3,4,8
851,8,5,1,a cube number,a prime number,a square or a cube number,13,9,6,14,3,7,4,40,8,5,40,7,5,3,5,7
852,8,5,2,a cube number,a prime number,a prime number,13,10,7,15,3,6,3,40,16,10,80,7,5,4,5,6
853,8,5,3,a cube number,a prime number,a prime number,13,11,8,16,3,5,2,40,24,15,120,7,6,4,5,5
854,8,5,4,a cube number,a prime number,a square number,13,12,9,17,3,4,1,40,32,20,160,7,6,5,6,4
855,8,5,5,a cube number,a prime number,a prime number,13,13,10,18,3,3,0,40,40,25,200,7,7,5,6,3
856,8,5,6,a cube number,a prime number,a triangular number,13,14,11,19,3,2,1,40,48,30,240,7,7,6,6,3
857,8,5,7,a cube number,a prime number,a prime number,13,15,12,20,3,1,2,40,56,35,280,7,8,6,7,3
858,8,5,8,a cube number,a prime number,a cube number,13,16,13,21,3,0,3,40,64,40,320,7,8,7,7,3
859,8,5,9,a cube number,a prime number,a square number,13,17,14,22,3,1,4,40,72,45,360,7,9,7,7,4
860,8,6,0,a cube number,a triangular number,a square or a cube number,14,8,6,14,2,8,6,48,0,0,0,7,4,3,5,8
861,8,6,1,a cube number,a triangular number,a square or a cube number,14,9,7,15,2,7,5,48,8,6,48,7,5,4,5,7
862,8,6,2,a cube number,a triangular number,a prime number,14,10,8,16,2,6,4,48,16,12,96,7,5,4,5,6
863,8,6,3,a cube number,a triangular number,a prime number,14,11,9,17,2,5,3,48,24,18,144,7,6,5,6,5
864,8,6,4,a cube number,a triangular number,a square number,14,12,10,18,2,4,2,48,32,24,192,7,6,5,6,4
865,8,6,5,a cube number,a triangular number,a prime number,14,13,11,19,2,3,1,48,40,30,240,7,7,6,6,3
866,8,6,6,a cube number,a triangular number,a triangular number,14,14,12,20,2,2,0,48,48,36,288,7,7,6,7,2
867,8,6,7,a cube number,a triangular number,a prime number,14,15,13,21,2,1,1,48,56,42,336,7,8,7,7,2
868,8,6,8,a cube number,a triangular number,a cube number,14,16,14,22,2,0,2,48,64,48,384,7,8,7,7,2
869,8,6,9,a cube number,a triangular number,a square number,14,17,15,23,2,1,3,48,72,54,432,7,9,8,8,3
870,8,7,0,a cube number,a prime number,a square or a cube number,15,8,7,15,1,8,7,56,0,0,0,8,4,4,5,8
871,8,7,1,a cube number,a prime number,a square or a cube number,15,9,8,16,1,7,6,56,8,7,56,8,5,4,5,7
872,8,7,2,a cube number,a prime number,a prime number,15,10,9,17,1,6,5,56,16,14,112,8,5,5,6,6
873,8,7,3,a cube number,a prime number,a prime number,15,11,10,18,1,5,4,56,24,21,168,8,6,5,6,5
874,8,7,4,a cube number,a prime number,a square number,15,12,11,19,1,4,3,56,32,28,224,8,6,6,6,4
875,8,7,5,a cube number,a prime number,a prime number,15,13,12,20,1,3,2,56,40,35,280,8,7,6,7,3
876,8,7,6,a cube number,a prime number,a triangular number,15,14,13,21,1,2,1,56,48,42,336,8,7,7,7,2
877,8,7,7,a cube number,a prime number,a prime number,15,15,14,22,1,1,0,56,56,49,392,8,8,7,7,1
878,8,7,8,a cube number,a prime number,a cube number,15,16,15,23,1,0,1,56,64,56,448,8,8,8,8,1
879,8,7,9,a cube number,a prime number,a square number,15,17,16,24,1,1,2,56,72,63,504,8,9,8,8,2
880,8,8,0,a cube number,a cube number,a square or a cube number,16,8,8,16,0,8,8,64,0,0,0,8,4,4,5,8
881,8,8,1,a cube number,a cube number,a square or a cube number,16,9,9,17,0,7,7,64,8,8,64,8,5,5,6,7
882,8,8,2,a cube number,a cube number,a prime number,16,10,10,18,0,6,6,64,16,16,128,8,5,5,6,6
883,8,8,3,a cube number,a cube number,a prime number,16,11,11,19,0,5,5,64,24,24,192,8,6,6,6,5
884,8,8,4,a cube number,a cube number,a square number,16,12,12,20,0,4,4,64,32,32,256,8,6,6,7,4
885,8,8,5,a cube number,a cube number,a prime number,16,13,13,21,0,3,3,64,40,40,320,8,7,7,7,3
886,8,8,6,a cube number,a cube number,a triangular number,16,14,14,22,0,2,2,64,48,48,384,8,7,7,7,2
887,8,8,7,a cube number,a cube number,a prime number,16,15,15,23,0,1,1,64,56,56,448,8,8,8,8,1
888,8,8,8,a cube number,a cube number,a cube number,16,16,16,24,0,0,0,64,64,64,512,8,8,8,8,0
889,8,8,9,a cube number,a cube number,a square number,16,17,17,25,0,1,1,64,72,72,576,8,9,9,8,1
890,8,9,0,a cube number,a square number,a square or a cube number,17.00,8.00,9.00,17.00,1.00,8.00,9.00,72.00,0.00,0.00,0.00,8.50,4.00,4.50,5.67,9.00
891,8,9,1,a cube number,a square number,a square or a cube number,17.00,9.00,10.00,18.00,1.00,7.00,8.00,72.00,8.00,9.00,72.00,8.50,4.50,5.00,6.00,8.00
892,8,9,2,a cube number,a square number,a prime number,17.00,10.00,11.00,19.00,1.00,6.00,7.00,72.00,16.00,18.00,144.00,8.50,5.00,5.50,6.33,7.00
893,8,9,3,a cube number,a square number,a prime number,17.00,11.00,12.00,20.00,1.00,5.00,6.00,72.00,24.00,27.00,216.00,8.50,5.50,6.00,6.67,6.00
894,8,9,4,a cube number,a square number,a square number,17.00,12.00,13.00,21.00,1.00,4.00,5.00,72.00,32.00,36.00,288.00,8.50,6.00,6.50,7.00,5.00
895,8,9,5,a cube number,a square number,a prime number,17.00,13.00,14.00,22.00,1.00,3.00,4.00,72.00,40.00,45.00,360.00,8.50,6.50,7.00,7.33,4.00
896,8,9,6,a cube number,a square number,a triangular number,17.00,14.00,15.00,23.00,1.00,2.00,3.00,72.00,48.00,54.00,432.00,8.50,7.00,7.50,7.67,3.00
897,8,9,7,a cube number,a square number,a prime number,17.00,15.00,16.00,24.00,1.00,1.00,2.00,72.00,56.00,63.00,504.00,8.50,7.50,8.00,8.00,2.00
898,8,9,8,a cube number,a square number,a cube number,17.00,16.00,17.00,25.00,1.00,0.00,1.00,72.00,64.00,72.00,576.00,8.50,8.00,8.50,8.33,1.00
899,8,9,9,a cube number,a square number,a square number,17.00,17.00,18.00,26.00,1.00,1.00,0.00,72.00,72.00,81.00,648.00,8.50,8.50,9.00,8.67,1.00
900,9,0,0,a square number,a square or a cube number,a square or a cube number,9,9,0,9,9,9,0,0,0,0,0,5,5,0,3,9
901,9,0,1,a square number,a square or a cube number,a square or a cube number,9,10,1,10,9,8,1,0,9,0,0,5,5,1,3,9
902,9,0,2,a square number,a square or a cube number,a prime number,9,11,2,11,9,7,2,0,18,0,0,5,6,1,4,9
903,9,0,3,a square number,a square or a cube number,a prime number,9,12,3,12,9,6,3,0,27,0,0,5,6,2,4,9
904,9,0,4,a square number,a square or a cube number,a square number,9,13,4,13,9,5,4,0,36,0,0,5,7,2,4,9
905,9,0,5,a square number,a square or a cube number,a prime number,9,14,5,14,9,4,5,0,45,0,0,5,7,3,5,9
906,9,0,6,a square number,a square or a cube number,a triangular number,9,15,6,15,9,3,6,0,54,0,0,5,8,3,5,9
907,9,0,7,a square number,a square or a cube number,a prime number,9,16,7,16,9,2,7,0,63,0,0,5,8,4,5,9
908,9,0,8,a square number,a square or a cube number,a cube number,9,17,8,17,9,1,8,0,72,0,0,5,9,4,6,9
909,9,0,9,a square number,a square or a cube number,a square number,9,18,9,18,9,0,9,0,81,0,0,5,9,5,6,9
910,9,1,0,a square number,a square or a cube number,a square or a cube number,10,9,1,10,8,9,1,9,0,0,0,5,5,1,3,9
911,9,1,1,a square number,a square or a cube number,a square or a cube number,10,10,2,11,8,8,0,9,9,1,9,5,5,1,4,8
912,9,1,2,a square number,a square or a cube number,a prime number,10,11,3,12,8,7,1,9,18,2,18,5,6,2,4,8
913,9,1,3,a square number,a square or a cube number,a prime number,10,12,4,13,8,6,2,9,27,3,27,5,6,2,4,8
914,9,1,4,a square number,a square or a cube number,a square number,10,13,5,14,8,5,3,9,36,4,36,5,7,3,5,8
915,9,1,5,a square number,a square or a cube number,a prime number,10,14,6,15,8,4,4,9,45,5,45,5,7,3,5,8
916,9,1,6,a square number,a square or a cube number,a triangular number,10,15,7,16,8,3,5,9,54,6,54,5,8,4,5,8
917,9,1,7,a square number,a square or a cube number,a prime number,10,16,8,17,8,2,6,9,63,7,63,5,8,4,6,8
918,9,1,8,a square number,a square or a cube number,a cube number,10,17,9,18,8,1,7,9,72,8,72,5,9,5,6,8
919,9,1,9,a square number,a square or a cube number,a square number,10,18,10,19,8,0,8,9,81,9,81,5,9,5,6,8
920,9,2,0,a square number,a prime number,a square or a cube number,11,9,2,11,7,9,2,18,0,0,0,6,5,1,4,9
921,9,2,1,a square number,a prime number,a square or a cube number,11,10,3,12,7,8,1,18,9,2,18,6,5,2,4,8
922,9,2,2,a square number,a prime number,a prime number,11,11,4,13,7,7,0,18,18,4,36,6,6,2,4,7
923,9,2,3,a square number,a prime number,a prime number,11,12,5,14,7,6,1,18,27,6,54,6,6,3,5,7
924,9,2,4,a square number,a prime number,a square number,11,13,6,15,7,5,2,18,36,8,72,6,7,3,5,7
925,9,2,5,a square number,a prime number,a prime number,11,14,7,16,7,4,3,18,45,10,90,6,7,4,5,7
926,9,2,6,a square number,a prime number,a triangular number,11,15,8,17,7,3,4,18,54,12,108,6,8,4,6,7
927,9,2,7,a square number,a prime number,a prime number,11,16,9,18,7,2,5,18,63,14,126,6,8,5,6,7
928,9,2,8,a square number,a prime number,a cube number,11,17,10,19,7,1,6,18,72,16,144,6,9,5,6,7
929,9,2,9,a square number,a prime number,a square number,11,18,11,20,7,0,7,18,81,18,162,6,9,6,7,7
930,9,3,0,a square number,a prime number,a square or a cube number,12,9,3,12,6,9,3,27,0,0,0,6,5,2,4,9
931,9,3,1,a square number,a prime number,a square or a cube number,12,10,4,13,6,8,2,27,9,3,27,6,5,2,4,8
932,9,3,2,a square number,a prime number,a prime number,12,11,5,14,6,7,1,27,18,6,54,6,6,3,5,7
933,9,3,3,a square number,a prime number,a prime number,12,12,6,15,6,6,0,27,27,9,81,6,6,3,5,6
934,9,3,4,a square number,a prime number,a square number,12,13,7,16,6,5,1,27,36,12,108,6,7,4,5,6
935,9,3,5,a square number,a prime number,a prime number,12,14,8,17,6,4,2,27,45,15,135,6,7,4,6,6
936,9,3,6,a square number,a prime number,a triangular number,12,15,9,18,6,3,3,27,54,18,162,6,8,5,6,6
937,9,3,7,a square number,a prime number,a prime number,12,16,10,19,6,2,4,27,63,21,189,6,8,5,6,6
938,9,3,8,a square number,a prime number,a cube number,12,17,11,20,6,1,5,27,72,24,216,6,9,6,7,6
939,9,3,9,a square number,a prime number,a square number,12,18,12,21,6,0,6,27,81,27,243,6,9,6,7,6
940,9,4,0,a square number,a square number,a square or a cube number,13.00,9.00,4.00,13.00,5.00,9.00,4.00,36.00,0.00,0.00,0.00,6.50,4.50,2.00,4.33,9.00
941,9,4,1,a square number,a square number,a square or a cube number,13.00,10.00,5.00,14.00,5.00,8.00,3.00,36.00,9.00,4.00,36.00,6.50,5.00,2.50,4.67,8.00
942,9,4,2,a square number,a square number,a prime number,13.00,11.00,6.00,15.00,5.00,7.00,2.00,36.00,18.00,8.00,72.00,6.50,5.50,3.00,5.00,7.00
943,9,4,3,a square number,a square number,a prime number,13.00,12.00,7.00,16.00,5.00,6.00,1.00,36.00,27.00,12.00,108.00,6.50,6.00,3.50,5.33,6.00
944,9,4,4,a square number,a square number,a square number,13.00,13.00,8.00,17.00,5.00,5.00,0.00,36.00,36.00,16.00,144.00,6.50,6.50,4.00,5.67,5.00
945,9,4,5,a square number,a square number,a prime number,13.00,14.00,9.00,18.00,5.00,4.00,1.00,36.00,45.00,20.00,180.00,6.50,7.00,4.50,6.00,5.00
946,9,4,6,a square number,a square number,a triangular number,13.00,15.00,10.00,19.00,5.00,3.00,2.00,36.00,54.00,24.00,216.00,6.50,7.50,5.00,6.33,5.00
947,9,4,7,a square number,a square number,a prime number,13.00,16.00,11.00,20.00,5.00,2.00,3.00,36.00,63.00,28.00,252.00,6.50,8.00,5.50,6.67,5.00
948,9,4,8,a square number,a square number,a cube number,13.00,17.00,12.00,21.00,5.00,1.00,4.00,36.00,72.00,32.00,288.00,6.50,8.50,6.00,7.00,5.00
949,9,4,9,a square number,a square number,a square number,13.00,18.00,13.00,22.00,5.00,0.00,5.00,36.00,81.00,36.00,324.00,6.50,9.00,6.50,7.33,5.00
950,9,5,0,a square number,a prime number,a square or a cube number,14,9,5,14,4,9,5,45,0,0,0,7,5,3,5,9
951,9,5,1,a square number,a prime number,a square or a cube number,14,10,6,15,4,8,4,45,9,5,45,7,5,3,5,8
952,9,5,2,a square number,a prime number,a prime number,14,11,7,16,4,7,3,45,18,10,90,7,6,4,5,7
953,9,5,3,a square number,a prime number,a prime number,14,12,8,17,4,6,2,45,27,15,135,7,6,4,6,6
954,9,5,4,a square number,a prime number,a square number,14,13,9,18,4,5,1,45,36,20,180,7,7,5,6,5
955,9,5,5,a square number,a prime number,a prime number,14,14,10,19,4,4,0,45,45,25,225,7,7,5,6,4
956,9,5,6,a square number,a prime number,a triangular number,14,15,11,20,4,3,1,45,54,30,270,7,8,6,7,4
957,9,5,7,a square number,a prime number,a prime number,14,16,12,21,4,2,2,45,63,35,315,7,8,6,7,4
958,9,5,8,a square number,a prime number,a cube number,14,17,13,22,4,1,3,45,72,40,360,7,9,7,7,4
959,9,5,9,a square number,a prime number,a square number,14,18,14,23,4,0,4,45,81,45,405,7,9,7,8,4
960,9,6,0,a square number,a triangular number,a square or a cube number,15,9,6,15,3,9,6,54,0,0,0,8,5,3,5,9
961,9,6,1,a square number,a triangular number,a square or a cube number,15,10,7,16,3,8,5,54,9,6,54,8,5,4,5,8
962,9,6,2,a square number,a triangular number,a prime number,15,11,8,17,3,7,4,54,18,12,108,8,6,4,6,7
963,9,6,3,a square number,a triangular number,a prime number,15,12,9,18,3,6,3,54,27,18,162,8,6,5,6,6
964,9,6,4,a square number,a triangular number,a square number,15,13,10,19,3,5,2,54,36,24,216,8,7,5,6,5
965,9,6,5,a square number,a triangular number,a prime number,15,14,11,20,3,4,1,54,45,30,270,8,7,6,7,4
966,9,6,6,a square number,a triangular number,a triangular number,15,15,12,21,3,3,0,54,54,36,324,8,8,6,7,3
967,9,6,7,a square number,a triangular number,a prime number,15,16,13,22,3,2,1,54,63,42,378,8,8,7,7,3
968,9,6,8,a square number,a triangular number,a cube number,15,17,14,23,3,1,2,54,72,48,432,8,9,7,8,3
969,9,6,9,a square number,a triangular number,a square number,15,18,15,24,3,0,3,54,81,54,486,8,9,8,8,3
970,9,7,0,a square number,a prime number,a square or a cube number,16,9,7,16,2,9,7,63,0,0,0,8,5,4,5,9
971,9,7,1,a square number,a prime number,a square or a cube number,16,10,8,17,2,8,6,63,9,7,63,8,5,4,6,8
972,9,7,2,a square number,a prime number,a prime number,16,11,9,18,2,7,5,63,18,14,126,8,6,5,6,7
973,9,7,3,a square number,a prime number,a prime number,16,12,10,19,2,6,4,63,27,21,189,8,6,5,6,6
974,9,7,4,a square number,a prime number,a square number,16,13,11,20,2,5,3,63,36,28,252,8,7,6,7,5
975,9,7,5,a square number,a prime number,a prime number,16,14,12,21,2,4,2,63,45,35,315,8,7,6,7,4
